2026-02-26 05:10:26.765854 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:26.769052 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:26.771051 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:26.772988 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:26.774625 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:26.834280 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:26.836444 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:27.171591 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:27.198585 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:27.200407 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:27.201941 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:27.203475 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:27.582417 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:27.587285 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:27.588145 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:27.949248 | TCP | 192.168.100.46:64527 -> 64.233.184.188:5228
2026-02-26 05:10:28.195292 | TCP | 64.233.184.188:5228 -> 192.168.100.46:64527
2026-02-26 05:10:29.447336 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:29.450324 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:29.488338 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:29.489372 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:29.491093 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:29.492037 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:29.493459 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:29.495186 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:29.496601 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:30.040392 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:30.044332 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:30.047071 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:31.268218 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:31.275293 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:31.309379 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.311442 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.313388 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.315227 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.316974 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.780490 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.784102 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.787296 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:31.789842 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:32.038522 | UDP | 192.168.100.46:50809 -> 8.8.8.8:53
2026-02-26 05:10:32.041471 | UDP | 192.168.100.46:59578 -> 8.8.8.8:53
2026-02-26 05:10:32.075335 | UDP | 8.8.8.8:53 -> 192.168.100.46:50809
2026-02-26 05:10:32.080494 | UDP | 8.8.8.8:53 -> 192.168.100.46:59578
2026-02-26 05:10:32.083289 | TCP | 192.168.100.46:57215 -> 8.8.8.8:443
2026-02-26 05:10:32.115327 | TCP | 8.8.8.8:443 -> 192.168.100.46:57215
2026-02-26 05:10:32.118020 | TCP | 192.168.100.46:57215 -> 8.8.8.8:443
2026-02-26 05:10:32.120918 | TCP | 192.168.100.46:57215 -> 8.8.8.8:443
2026-02-26 05:10:32.139230 | TCP | 8.8.8.8:443 -> 192.168.100.46:57215
2026-02-26 05:10:32.141893 | TCP | 192.168.100.46:55561 -> 8.8.8.8:443
2026-02-26 05:10:32.152420 | TCP | 8.8.8.8:443 -> 192.168.100.46:57215
2026-02-26 05:10:32.174562 | TCP | 8.8.8.8:443 -> 192.168.100.46:55561
2026-02-26 05:10:32.177743 | TCP | 192.168.100.46:55561 -> 8.8.8.8:443
2026-02-26 05:10:32.181424 | TCP | 192.168.100.46:55561 -> 8.8.8.8:443
2026-02-26 05:10:32.197806 | TCP | 8.8.8.8:443 -> 192.168.100.46:55561
2026-02-26 05:10:32.211192 | TCP | 8.8.8.8:443 -> 192.168.100.46:55561
2026-02-26 05:10:32.916865 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:32.919973 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:32.958185 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:32.959283 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:32.960899 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:32.962531 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:32.963920 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:33.521225 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:33.524979 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:33.527177 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:33.528641 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:34.583798 | UDP | 192.168.100.46:59120 -> 8.8.8.8:53
2026-02-26 05:10:34.587536 | UDP | 192.168.100.46:50258 -> 8.8.8.8:53
2026-02-26 05:10:34.622366 | UDP | 8.8.8.8:53 -> 192.168.100.46:50258
2026-02-26 05:10:34.628844 | UDP | 8.8.8.8:53 -> 192.168.100.46:59120
2026-02-26 05:10:34.632425 | TCP | 192.168.100.46:51050 -> 8.8.8.8:443
2026-02-26 05:10:34.658685 | TCP | 8.8.8.8:443 -> 192.168.100.46:51050
2026-02-26 05:10:34.661001 | TCP | 192.168.100.46:51050 -> 8.8.8.8:443
2026-02-26 05:10:34.663176 | TCP | 192.168.100.46:51050 -> 8.8.8.8:443
2026-02-26 05:10:34.681707 | TCP | 8.8.8.8:443 -> 192.168.100.46:51050
2026-02-26 05:10:34.683002 | TCP | 192.168.100.46:63821 -> 8.8.8.8:443
2026-02-26 05:10:34.694476 | TCP | 8.8.8.8:443 -> 192.168.100.46:51050
2026-02-26 05:10:34.719491 | TCP | 8.8.8.8:443 -> 192.168.100.46:63821
2026-02-26 05:10:34.721199 | TCP | 192.168.100.46:63821 -> 8.8.8.8:443
2026-02-26 05:10:34.723071 | TCP | 192.168.100.46:63821 -> 8.8.8.8:443
2026-02-26 05:10:34.742131 | TCP | 8.8.8.8:443 -> 192.168.100.46:63821
2026-02-26 05:10:34.755383 | TCP | 8.8.8.8:443 -> 192.168.100.46:63821
2026-02-26 05:10:35.947422 | TCP | 192.168.100.46:49961 -> 4.224.93.21:443
2026-02-26 05:10:36.080830 | TCP | 4.224.93.21:443 -> 192.168.100.46:49961
2026-02-26 05:10:36.128098 | TCP | 192.168.100.46:49961 -> 4.224.93.21:443
2026-02-26 05:10:36.843550 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:36.846997 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:36.887162 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:36.889052 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:36.891096 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:36.892830 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:36.895197 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:36.897203 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:36.898899 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:37.411858 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:37.414051 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:37.416120 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:37.595011 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:37.597779 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:37.727165 | UDP | 192.168.100.3:5353 -> 224.0.0.251:5353
2026-02-26 05:10:37.922869 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:37.924814 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:37.926991 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:37.929294 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:38.132253 | UDP | 192.168.100.46:63250 -> 142.250.200.164:443
2026-02-26 05:10:38.197870 | UDP | 142.250.200.164:443 -> 192.168.100.46:63250
2026-02-26 05:10:39.051494 | TCP | 192.168.100.46:58116 -> 172.64.148.235:443
2026-02-26 05:10:39.074134 | TCP | 172.64.148.235:443 -> 192.168.100.46:58116
2026-02-26 05:10:39.253617 | TCP | 172.64.148.235:443 -> 192.168.100.46:58116
2026-02-26 05:10:39.307008 | TCP | 192.168.100.46:58116 -> 172.64.148.235:443
2026-02-26 05:10:40.557336 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:40.563050 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:40.597827 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:40.598989 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:40.600388 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:40.601529 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:40.602617 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
